STATION ID,STATUS,RESULT
263,-166,UNDERFLOW
264,-1543,UNDERFLOW
265,240,OVERFLOW
267,214,OVERFLOW
268,613,OVERFLOW
270,76,OVERFLOW
271,75,OVERFLOW
272,-88,UNDERFLOW
273,347,OVERFLOW
274,-17,UNDERFLOW
275,367,OVERFLOW
276,-65,UNDERFLOW
277,-42,UNDERFLOW
278,18,OVERFLOW
279,245,OVERFLOW
280,77,OVERFLOW
281,-18,UNDERFLOW
282,63,OVERFLOW
283,-564,UNDERFLOW
284,7,OVERFLOW
285,120,OVERFLOW
286,-528,UNDERFLOW
287,-798,UNDERFLOW
288,-244,UNDERFLOW
289,90,OVERFLOW
290,-208,UNDERFLOW
291,-40,UNDERFLOW
292,-431,UNDERFLOW
293,262,OVERFLOW
294,537,OVERFLOW
295,293,OVERFLOW
296,681,OVERFLOW
297,-240,UNDERFLOW
298,580,OVERFLOW
299,163,OVERFLOW
300,700,OVERFLOW
301,-906,UNDERFLOW
302,-200,UNDERFLOW
303,135,OVERFLOW
304,238,OVERFLOW
305,181,OVERFLOW
306,-61,UNDERFLOW
307,690,OVERFLOW
308,260,OVERFLOW
309,-349,UNDERFLOW
310,129,OVERFLOW
311,-213,UNDERFLOW
312,6,OVERFLOW
313,275,OVERFLOW
314,-290,UNDERFLOW
315,38,OVERFLOW
316,33,OVERFLOW
317,114,OVERFLOW
318,-213,UNDERFLOW
319,157,OVERFLOW
320,-437,UNDERFLOW
321,17,OVERFLOW
322,194,OVERFLOW
323,300,OVERFLOW
324,586,OVERFLOW
325,108,OVERFLOW
326,-320,UNDERFLOW
327,436,OVERFLOW
328,166,OVERFLOW
329,166,OVERFLOW
330,89,OVERFLOW
331,592,OVERFLOW
332,441,OVERFLOW
333,51,OVERFLOW
334,342,OVERFLOW
335,57,OVERFLOW
336,17,OVERFLOW
337,-483,UNDERFLOW
338,125,OVERFLOW
339,386,OVERFLOW
340,255,OVERFLOW
341,-447,UNDERFLOW
342,-301,UNDERFLOW
343,-365,UNDERFLOW
344,-64,UNDERFLOW
345,222,OVERFLOW
346,124,OVERFLOW
347,-330,UNDERFLOW
348,391,OVERFLOW
349,-333,UNDERFLOW
350,213,OVERFLOW
351,-93,UNDERFLOW
352,-67,UNDERFLOW
353,21,OVERFLOW
354,-64,UNDERFLOW
355,-1,UNDERFLOW
356,20,OVERFLOW
359,-366,UNDERFLOW
360,156,OVERFLOW
361,15,OVERFLOW
363,1,OVERFLOW
364,125,OVERFLOW
365,-343,UNDERFLOW
366,-145,UNDERFLOW
367,207,OVERFLOW
368,-138,UNDERFLOW
369,189,OVERFLOW
370,99,OVERFLOW
372,41,OVERFLOW
373,288,OVERFLOW
374,-83,UNDERFLOW
375,-44,UNDERFLOW
376,-1008,UNDERFLOW
377,81,OVERFLOW
378,28,OVERFLOW
381,293,OVERFLOW
382,-61,UNDERFLOW
383,-191,UNDERFLOW
384,13,OVERFLOW
385,-94,UNDERFLOW
386,-19,UNDERFLOW
388,2,OVERFLOW
390,-153,UNDERFLOW
391,20,OVERFLOW
392,-17,UNDERFLOW
393,-9,UNDERFLOW
394,36,OVERFLOW
395,1,OVERFLOW
396,24,OVERFLOW
397,29,OVERFLOW
398,-2,UNDERFLOW
399,18,OVERFLOW
400,-8,UNDERFLOW
401,94,OVERFLOW
402,-99,UNDERFLOW
403,164,OVERFLOW
405,-81,UNDERFLOW
406,-45,UNDERFLOW
407,36,OVERFLOW
408,82,OVERFLOW
409,-3,UNDERFLOW
410,28,OVERFLOW
411,69,OVERFLOW
412,-338,UNDERFLOW
413,4,OVERFLOW
414,-188,UNDERFLOW
415,-46,UNDERFLOW
416,-35,UNDERFLOW
417,-187,UNDERFLOW
418,-132,UNDERFLOW
419,208,OVERFLOW
420,-107,UNDERFLOW
421,-112,UNDERFLOW
422,-103,UNDERFLOW
423,122,OVERFLOW
424,-84,UNDERFLOW
425,-395,UNDERFLOW
426,-13,UNDERFLOW
427,20,OVERFLOW
428,3,OVERFLOW
429,-4,UNDERFLOW
430,32,OVERFLOW
431,65,OVERFLOW
432,213,OVERFLOW
433,-8,UNDERFLOW
434,96,OVERFLOW
435,59,OVERFLOW
436,-28,UNDERFLOW
437,89,OVERFLOW
438,-116,UNDERFLOW
439,-286,UNDERFLOW
440,32,OVERFLOW
441,37,OVERFLOW
442,-86,UNDERFLOW
443,237,OVERFLOW
444,48,OVERFLOW
445,-100,UNDERFLOW
446,35,OVERFLOW
447,210,OVERFLOW
448,-48,UNDERFLOW
449,-255,UNDERFLOW
450,250,OVERFLOW
451,104,OVERFLOW
452,186,OVERFLOW
453,179,OVERFLOW
454,308,OVERFLOW
455,176,OVERFLOW
456,136,OVERFLOW
457,-67,UNDERFLOW
458,469,OVERFLOW
459,275,OVERFLOW
460,331,OVERFLOW
461,155,OVERFLOW
462,264,OVERFLOW
463,351,OVERFLOW
464,33,OVERFLOW
465,178,OVERFLOW
466,-5,UNDERFLOW
467,108,OVERFLOW
468,45,OVERFLOW
469,-148,UNDERFLOW
470,-28,UNDERFLOW
471,31,OVERFLOW
472,-74,UNDERFLOW
474,221,OVERFLOW
475,48,OVERFLOW
476,81,OVERFLOW
477,247,OVERFLOW
478,396,OVERFLOW
479,4,OVERFLOW
480,320,OVERFLOW
481,315,OVERFLOW
482,106,OVERFLOW
483,-124,UNDERFLOW
484,12,OVERFLOW
485,157,OVERFLOW
486,192,OVERFLOW
487,249,OVERFLOW
488,217,OVERFLOW
489,-286,UNDERFLOW
490,142,OVERFLOW
491,264,OVERFLOW
492,165,OVERFLOW
493,164,OVERFLOW
494,144,OVERFLOW
495,153,OVERFLOW
496,233,OVERFLOW
497,-145,UNDERFLOW
498,305,OVERFLOW
499,113,OVERFLOW
500,-60,UNDERFLOW
501,204,OVERFLOW
502,114,OVERFLOW
503,389,OVERFLOW
504,214,OVERFLOW
505,229,OVERFLOW
506,178,OVERFLOW
